Area(23 Markets),Country/Area(23 Markets),Month (abbr),Purpose_of_visit_to_Japan,Visitor Arrivals,Year
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Mar.,Tourism,"31,516",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Apr.,Tourism,"39,068",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,May,Tourism,"24,628",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jun.,Tourism,"19,413",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jul.,Tourism,"22,762",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Aug.,Tourism,"19,895",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Sep.,Tourism,"41,325",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Oct.,Tourism,"59,330",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Nov.,Tourism,"30,045",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Dec.,Tourism,"22,695",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jan.,Tourism,"75,253",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Feb.,Tourism,"72,454",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Mar.,Tourism,"147,532",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Apr.,Tourism,"148,005",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,May,Tourism,"129,959",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jun.,Tourism,"151,928",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jul.,Tourism,"133,516",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Aug.,Tourism,"93,681",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Sep.,Tourism,"100,459",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Oct.,Tourism,"127,454",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Nov.,Tourism,"123,839",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Dec.,Tourism,"124,956",2019
All,All,Jan.,Tourism,"2,345,029",2019
All,All,Feb.,Tourism,"2,341,479",2019
All,All,Mar.,Tourism,"2,411,650",2019
All,All,Apr.,Tourism,"2,640,569",2019
All,All,May,Tourism,"2,455,865",2019
All,All,Jun.,Tourism,"2,614,533",2019
All,All,Jul.,Tourism,"2,713,329",2019
All,All,Aug.,Tourism,"2,206,746",2019
All,All,Sep.,Tourism,"1,913,105",2019
All,All,Oct.,Tourism,"2,177,382",2019
All,All,Nov.,Tourism,"2,145,425",2019
All,All,Dec.,Tourism,"2,292,029",2019
East Asia,China,Jan.,Others,"71,644",2019
East Asia,China,Feb.,Others,"50,785",2019
East Asia,China,Mar.,Others,"72,406",2019
East Asia,China,Apr.,Others,"51,460",2019
East Asia,China,May,Others,"55,436",2019
East Asia,China,Jun.,Others,"35,267",2019
East Asia,China,Jul.,Others,"39,904",2019
East Asia,China,Aug.,Others,"64,409",2019
East Asia,China,Sep.,Others,"80,741",2019
East Asia,China,Oct.,Others,"53,300",2019
East Asia,China,Nov.,Others,"37,757",2019
East Asia,China,Dec.,Others,"32,381",2019
East Asia,Hong Kong,Jan.,Others,"1,542",2019
East Asia,Hong Kong,Feb.,Others,"1,172",2019
East Asia,Hong Kong,Mar.,Others,"1,831",2019
East Asia,Hong Kong,Apr.,Others,"1,271",2019
East Asia,Hong Kong,May,Others,"1,245",2019
East Asia,Hong Kong,Jun.,Others,946,2019
East Asia,Hong Kong,Jul.,Others,935,2019
East Asia,Hong Kong,Aug.,Others,"1,505",2019
East Asia,Hong Kong,Sep.,Others,"1,769",2019
East Asia,Hong Kong,Oct.,Others,"1,175",2019
East Asia,Hong Kong,Nov.,Others,"1,235",2019
East Asia,Hong Kong,Dec.,Others,998,2019
East Asia,South Korea,Jan.,Others,"25,158",2019
East Asia,South Korea,Feb.,Others,"13,980",2019
East Asia,South Korea,Mar.,Others,"24,287",2019
East Asia,South Korea,Apr.,Others,"16,375",2019
East Asia,South Korea,May,Others,"21,580",2019
East Asia,South Korea,Jun.,Others,"14,788",2019
East Asia,South Korea,Jul.,Others,"15,808",2019
East Asia,South Korea,Aug.,Others,"27,017",2019
East Asia,South Korea,Sep.,Others,"27,002",2019
East Asia,South Korea,Oct.,Others,"17,666",2019
East Asia,South Korea,Nov.,Others,"16,317",2019
East Asia,South Korea,Dec.,Others,"15,077",2019
East Asia,Taiwan,Jan.,Others,"10,451",2019
East Asia,Taiwan,Feb.,Others,"7,559",2019
East Asia,Taiwan,Mar.,Others,"9,700",2019
East Asia,Taiwan,Apr.,Others,"7,304",2019
East Asia,Taiwan,May,Others,"8,469",2019
East Asia,Taiwan,Jun.,Others,"6,223",2019
East Asia,Taiwan,Jul.,Others,"6,530",2019
East Asia,Taiwan,Aug.,Others,"10,100",2019
East Asia,Taiwan,Sep.,Others,"10,796",2019
East Asia,Taiwan,Oct.,Others,"7,430",2019
East Asia,Taiwan,Nov.,Others,"5,891",2019
East Asia,Taiwan,Dec.,Others,"5,769",2019
Southeast Asia & India,India,Jan.,Others,"5,575",2019
Southeast Asia & India,India,Feb.,Others,"2,325",2019
Southeast Asia & India,India,Mar.,Others,"2,968",2019
Southeast Asia & India,India,Apr.,Others,"2,678",2019
Southeast Asia & India,India,May,Others,"4,623",2019
Southeast Asia & India,India,Jun.,Others,"2,755",2019
Southeast Asia & India,India,Jul.,Others,"2,496",2019
Southeast Asia & India,India,Aug.,Others,"4,723",2019
Southeast Asia & India,India,Sep.,Others,"3,572",2019
Southeast Asia & India,India,Oct.,Others,"2,617",2019
Southeast Asia & India,India,Nov.,Others,"2,818",2019
Southeast Asia & India,India,Dec.,Others,"2,636",2019
Southeast Asia & India,Indonesia,Jan.,Others,"4,083",2019
Southeast Asia & India,Indonesia,Feb.,Others,"2,683",2019
Southeast Asia & India,Indonesia,Mar.,Others,"3,998",2019
Southeast Asia & India,Indonesia,Apr.,Others,"3,499",2019
Southeast Asia & India,Indonesia,May,Others,"3,280",2019
Southeast Asia & India,Indonesia,Jun.,Others,"3,827",2019
Southeast Asia & India,Indonesia,Jul.,Others,"3,594",2019
Southeast Asia & India,Indonesia,Aug.,Others,"5,049",2019
Southeast Asia & India,Indonesia,Sep.,Others,"4,894",2019
Southeast Asia & India,Indonesia,Oct.,Others,"4,352",2019
Southeast Asia & India,Indonesia,Nov.,Others,"3,546",2019
Southeast Asia & India,Indonesia,Dec.,Others,"2,941",2019
Southeast Asia & India,Malaysia,Jan.,Others,"1,445",2019
Southeast Asia & India,Malaysia,Feb.,Others,"1,255",2019
Southeast Asia & India,Malaysia,Mar.,Others,"2,220",2019
Southeast Asia & India,Malaysia,Apr.,Others,"1,026",2019
Southeast Asia & India,Malaysia,May,Others,"1,061",2019
Southeast Asia & India,Malaysia,Jun.,Others,"1,069",2019
Southeast Asia & India,Malaysia,Jul.,Others,834,2019
Southeast Asia & India,Malaysia,Aug.,Others,"1,864",2019
Southeast Asia & India,Malaysia,Sep.,Others,"2,382",2019
Southeast Asia & India,Malaysia,Oct.,Others,"1,030",2019
Southeast Asia & India,Malaysia,Nov.,Others,828,2019
Southeast Asia & India,Malaysia,Dec.,Others,788,2019
Southeast Asia & India,Philippines,Jan.,Others,"8,534",2019
Southeast Asia & India,Philippines,Feb.,Others,"3,540",2019
Southeast Asia & India,Philippines,Mar.,Others,"4,522",2019
Southeast Asia & India,Philippines,Apr.,Others,"5,041",2019
Southeast Asia & India,Philippines,May,Others,"5,826",2019
Southeast Asia & India,Philippines,Jun.,Others,"4,326",2019
Southeast Asia & India,Philippines,Jul.,Others,"4,586",2019
Southeast Asia & India,Philippines,Aug.,Others,"6,966",2019
Southeast Asia & India,Philippines,Sep.,Others,"4,617",2019
Southeast Asia & India,Philippines,Oct.,Others,"4,614",2019
Southeast Asia & India,Philippines,Nov.,Others,"4,301",2019
Southeast Asia & India,Philippines,Dec.,Others,"3,681",2019
Southeast Asia & India,Singapore,Jan.,Others,566,2019
Southeast Asia & India,Singapore,Feb.,Others,530,2019
Southeast Asia & India,Singapore,Mar.,Others,668,2019
Southeast Asia & India,Singapore,Apr.,Others,327,2019
Southeast Asia & India,Singapore,May,Others,521,2019
Southeast Asia & India,Singapore,Jun.,Others,334,2019
Southeast Asia & India,Singapore,Jul.,Others,402,2019
Southeast Asia & India,Singapore,Aug.,Others,636,2019
Southeast Asia & India,Singapore,Sep.,Others,588,2019
Southeast Asia & India,Singapore,Oct.,Others,512,2019
Southeast Asia & India,Singapore,Nov.,Others,358,2019
Southeast Asia & India,Singapore,Dec.,Others,340,2019
Southeast Asia & India,Thailand,Jan.,Others,"3,866",2019
Southeast Asia & India,Thailand,Feb.,Others,"1,935",2019
Southeast Asia & India,Thailand,Mar.,Others,"3,506",2019
Southeast Asia & India,Thailand,Apr.,Others,"2,566",2019
Southeast Asia & India,Thailand,May,Others,"2,993",2019
Southeast Asia & India,Thailand,Jun.,Others,"2,686",2019
Southeast Asia & India,Thailand,Jul.,Others,"2,396",2019
Southeast Asia & India,Thailand,Aug.,Others,"3,514",2019
Southeast Asia & India,Thailand,Sep.,Others,"4,126",2019
Southeast Asia & India,Thailand,Oct.,Others,"2,711",2019
Southeast Asia & India,Thailand,Nov.,Others,"2,387",2019
Southeast Asia & India,Thailand,Dec.,Others,"1,968",2019
Southeast Asia & India,Vietnam,Jan.,Others,"27,604",2019
Southeast Asia & India,Vietnam,Feb.,Others,"27,049",2019
Southeast Asia & India,Vietnam,Mar.,Others,"24,150",2019
Southeast Asia & India,Vietnam,Apr.,Others,"26,796",2019
Southeast Asia & India,Vietnam,May,Others,"22,863",2019
Southeast Asia & India,Vietnam,Jun.,Others,"15,950",2019
Southeast Asia & India,Vietnam,Jul.,Others,"19,786",2019
Southeast Asia & India,Vietnam,Aug.,Others,"28,826",2019
Southeast Asia & India,Vietnam,Sep.,Others,"25,476",2019
Southeast Asia & India,Vietnam,Oct.,Others,"26,346",2019
Southeast Asia & India,Vietnam,Nov.,Others,"18,869",2019
Southeast Asia & India,Vietnam,Dec.,Others,"17,785",2019
Others,Others,Jan.,Others,"17,706",2019
Others,Others,Feb.,Others,"9,578",2019
Others,Others,Mar.,Others,"15,296",2019
Others,Others,Apr.,Others,"17,043",2019
Others,Others,May,Others,"13,812",2019
Others,Others,Jun.,Others,"11,189",2019
Others,Others,Jul.,Others,"11,792",2019
Others,Others,Aug.,Others,"19,685",2019
Others,Others,Sep.,Others,"18,633",2019
Others,Others,Oct.,Others,"18,167",2019
Others,Others,Nov.,Others,"15,035",2019
Others,Others,Dec.,Others,"12,062",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jan.,Others,"1,835",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Feb.,Others,810,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Mar.,Others,"1,522",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Apr.,Others,"1,045",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,May,Others,"1,302",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jun.,Others,"1,017",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jul.,Others,"1,181",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Aug.,Others,"1,668",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Sep.,Others,"1,335",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Oct.,Others,"1,110",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Nov.,Others,"1,815",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Dec.,Others,"1,709",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jan.,Others,"1,922",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Feb.,Others,671,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Mar.,Others,"1,245",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Apr.,Others,821,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,May,Others,"1,258",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jun.,Others,781,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jul.,Others,957,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Aug.,Others,"1,872",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Sep.,Others,"1,212",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Oct.,Others,997,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Nov.,Others,981,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Dec.,Others,892,2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jan.,Others,"3,209",2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,Feb.,Others,"1,095",2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,Mar.,Others,"2,234",2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,Apr.,Others,"1,455",2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,May,Others,"2,164",2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jun.,Others,"1,464",2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jul.,Others,"1,594",2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,Aug.,Others,"2,807",2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,Sep.,Others,"2,648",2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,Oct.,Others,"1,784",2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,Nov.,Others,"1,389",2019
Europe & Nordic Countries & Americas & Australia & Middle East,France,Dec.,Others,"1,385",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jan.,Others,"1,579",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Feb.,Others,762,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Mar.,Others,"1,506",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Apr.,Others,885,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,May,Others,"1,152",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jun.,Others,865,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jul.,Others,993,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Aug.,Others,"1,535",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Sep.,Others,"1,903",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Oct.,Others,"1,232",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Nov.,Others,"1,086",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Dec.,Others,886,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jan.,Others,997,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Feb.,Others,304,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Mar.,Others,735,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Apr.,Others,518,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,May,Others,592,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jun.,Others,705,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jul.,Others,473,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Aug.,Others,771,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Sep.,Others,"1,019",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Oct.,Others,"1,166",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Nov.,Others,511,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Dec.,Others,371,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jan.,Others,450,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Feb.,Others,132,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Mar.,Others,311,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Apr.,Others,250,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,May,Others,232,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jun.,Others,177,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jul.,Others,197,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Aug.,Others,297,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Sep.,Others,343,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Oct.,Others,216,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Nov.,Others,152,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Dec.,Others,137,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jan.,Others,786,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Feb.,Others,328,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Mar.,Others,596,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Apr.,Others,530,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,May,Others,431,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jun.,Others,"1,556",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jul.,Others,383,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Aug.,Others,683,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Sep.,Others,744,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Oct.,Others,838,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Nov.,Others,494,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Dec.,Others,303,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jan.,Others,828,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Feb.,Others,298,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Mar.,Others,805,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Apr.,Others,502,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,May,Others,445,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jun.,Others,365,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jul.,Others,379,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Aug.,Others,840,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Sep.,Others,929,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Oct.,Others,475,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Nov.,Others,652,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Dec.,Others,403,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jan.,Others,"1,017",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Feb.,Others,491,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Mar.,Others,672,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Apr.,Others,734,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,May,Others,723,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jun.,Others,841,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jul.,Others,741,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Aug.,Others,"1,026",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Sep.,Others,"1,108",2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Oct.,Others,787,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Nov.,Others,848,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Dec.,Others,542,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jan.,Others,918,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Feb.,Others,295,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Mar.,Others,513,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Apr.,Others,402,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,May,Others,478,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jun.,Others,401,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jul.,Others,530,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Aug.,Others,548,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Sep.,Others,722,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Oct.,Others,950,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Nov.,Others,380,2019
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Dec.,Others,291,2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jan.,Others,"3,062",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Feb.,Others,"1,040",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Mar.,Others,"1,846",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Apr.,Others,"1,533",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,May,Others,"1,874",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jun.,Others,"1,407",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jul.,Others,"1,718",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Aug.,Others,"3,081",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Sep.,Others,"2,410",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Oct.,Others,"2,283",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Nov.,Others,"1,770",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Dec.,Others,"1,658",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jan.,Others,"10,967",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Feb.,Others,"3,682",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Mar.,Others,"7,707",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Apr.,Others,"4,702",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,May,Others,"7,281",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jun.,Others,"4,992",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jul.,Others,"6,221",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Aug.,Others,"10,914",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Sep.,Others,"6,758",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Oct.,Others,"5,408",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Nov.,Others,"4,706",2019
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Dec.,Others,"5,095",2019
All,All,Jan.,Others,"205,744",2019
All,All,Feb.,Others,"132,299",2019
All,All,Mar.,Others,"185,244",2019
All,All,Apr.,Others,"148,763",2019
All,All,May,Others,"159,641",2019
All,All,Jun.,Others,"113,931",2019
All,All,Jul.,Others,"124,430",2019
All,All,Aug.,Others,"200,336",2019
All,All,Sep.,Others,"205,727",2019
All,All,Oct.,Others,"157,166",2019
All,All,Nov.,Others,"124,126",2019
All,All,Dec.,Others,"110,098",2019
East Asia,China,Jan.,Business,"27,959",2019
East Asia,China,Feb.,Business,"25,092",2019
East Asia,China,Mar.,Business,"31,393",2019
East Asia,China,Apr.,Business,"27,128",2019
East Asia,China,May,Business,"32,172",2019
East Asia,China,Jun.,Business,"32,195",2019
East Asia,China,Jul.,Business,"37,223",2019
East Asia,China,Aug.,Business,"27,069",2019
East Asia,China,Sep.,Business,"33,159",2019
East Asia,China,Oct.,Business,"31,428",2019
East Asia,China,Nov.,Business,"36,519",2019
East Asia,China,Dec.,Business,"32,067",2019
East Asia,Hong Kong,Jan.,Business,"2,983",2019
East Asia,Hong Kong,Feb.,Business,"2,771",2019
East Asia,Hong Kong,Mar.,Business,"3,491",2019
East Asia,Hong Kong,Apr.,Business,"2,995",2019
East Asia,Hong Kong,May,Business,"3,388",2019
East Asia,Hong Kong,Jun.,Business,"3,333",2019
East Asia,Hong Kong,Jul.,Business,"3,285",2019
East Asia,Hong Kong,Aug.,Business,"2,398",2019
East Asia,Hong Kong,Sep.,Business,"3,395",2019
East Asia,Hong Kong,Oct.,Business,"3,356",2019
East Asia,Hong Kong,Nov.,Business,"3,610",2019
East Asia,Hong Kong,Dec.,Business,"2,847",2019
East Asia,South Korea,Jan.,Business,"30,426",2019
East Asia,South Korea,Feb.,Business,"26,801",2019
East Asia,South Korea,Mar.,Business,"29,901",2019
East Asia,South Korea,Apr.,Business,"28,345",2019
East Asia,South Korea,May,Business,"29,554",2019
East Asia,South Korea,Jun.,Business,"28,323",2019
East Asia,South Korea,Jul.,Business,"28,319",2019
East Asia,South Korea,Aug.,Business,"18,866",2019
East Asia,South Korea,Sep.,Business,"21,633",2019
East Asia,South Korea,Oct.,Business,"23,643",2019
East Asia,South Korea,Nov.,Business,"24,167",2019
East Asia,South Korea,Dec.,Business,"22,621",2019
East Asia,Taiwan,Jan.,Business,"9,816",2019
East Asia,Taiwan,Feb.,Business,"8,421",2019
East Asia,Taiwan,Mar.,Business,"11,196",2019
East Asia,Taiwan,Apr.,Business,"9,702",2019
East Asia,Taiwan,May,Business,"10,996",2019
East Asia,Taiwan,Jun.,Business,"10,395",2019
East Asia,Taiwan,Jul.,Business,"10,710",2019
East Asia,Taiwan,Aug.,Business,"8,278",2019
East Asia,Taiwan,Sep.,Business,"10,766",2019
East Asia,Taiwan,Oct.,Business,"11,103",2019
East Asia,Taiwan,Nov.,Business,"11,285",2019
East Asia,Taiwan,Dec.,Business,"10,054",2019
Southeast Asia & India,India,Jan.,Business,"4,503",2019
Southeast Asia & India,India,Feb.,Business,"4,425",2019
Southeast Asia & India,India,Mar.,Business,"5,703",2019
Southeast Asia & India,India,Apr.,Business,"4,288",2019
Southeast Asia & India,India,May,Business,"5,308",2019
Southeast Asia & India,India,Jun.,Business,"5,244",2019
Southeast Asia & India,India,Jul.,Business,"5,593",2019
Southeast Asia & India,India,Aug.,Business,"4,161",2019
Southeast Asia & India,India,Sep.,Business,"6,054",2019
Southeast Asia & India,India,Oct.,Business,"5,244",2019
Southeast Asia & India,India,Nov.,Business,"6,190",2019
Southeast Asia & India,India,Dec.,Business,"3,839",2019
Southeast Asia & India,Indonesia,Jan.,Business,"1,801",2019
Southeast Asia & India,Indonesia,Feb.,Business,"1,875",2019
Southeast Asia & India,Indonesia,Mar.,Business,"2,506",2019
Southeast Asia & India,Indonesia,Apr.,Business,"1,942",2019
Southeast Asia & India,Indonesia,May,Business,"1,812",2019
Southeast Asia & India,Indonesia,Jun.,Business,"2,260",2019
Southeast Asia & India,Indonesia,Jul.,Business,"2,510",2019
Southeast Asia & India,Indonesia,Aug.,Business,"2,055",2019
Southeast Asia & India,Indonesia,Sep.,Business,"2,475",2019
Southeast Asia & India,Indonesia,Oct.,Business,"3,137",2019
Southeast Asia & India,Indonesia,Nov.,Business,"3,538",2019
Southeast Asia & India,Indonesia,Dec.,Business,"1,989",2019
Southeast Asia & India,Malaysia,Jan.,Business,"2,061",2019
Southeast Asia & India,Malaysia,Feb.,Business,"1,917",2019
Southeast Asia & India,Malaysia,Mar.,Business,"2,508",2019
